Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Total Shares Traded,Total Value Traded (GH¢)
2025-02-11,MTNGH,2.76,2.5,2.75,2.75,2.76,2.76,0.01,45630.0,125796.8
2025-02-12,MTNGH,2.76,2.5,2.76,2.76,2.76,2.76,0.0,48450.0,133732.1
2025-02-13,MTNGH,2.76,2.5,2.76,2.76,2.76,2.76,0.0,8854.0,24449.04
2025-02-14,MTNGH,2.8,2.5,2.76,2.76,2.8,2.8,0.04,203065.0,568359.72
2025-02-17,MTNGH,2.8,2.5,2.8,2.8,2.8,2.8,0.0,1031781.0,2889156.8
2025-02-18,MTNGH,2.81,2.5,2.8,2.8,2.82,2.81,0.01,13247.0,37232.01
2025-02-19,MTNGH,2.9,2.5,2.81,2.81,2.9,2.9,0.09,158485.0,459553.38
2025-02-20,MTNGH,2.9,2.5,2.9,2.9,2.9,2.85,-0.05,920777.0,2629021.56
2025-02-21,MTNGH,2.9,2.5,2.85,2.85,2.9,2.9,0.05,114817.0,332924.8
2025-02-24,MTNGH,2.9,2.5,2.9,2.9,2.9,2.9,0.0,863605.0,2504454.5
2025-02-25,MTNGH,2.9,2.5,2.9,2.9,2.89,2.89,-0.01,1414941.0,4091504.04
2025-02-26,MTNGH,2.9,2.5,2.89,2.89,2.89,2.89,0.0,11489131.0,33212144.63
2025-02-27,MTNGH,2.91,2.5,2.89,2.89,2.91,2.91,0.02,846784.0,2464275.11
2025-02-28,MTNGH,2.91,2.5,2.91,2.91,2.91,2.91,0.0,418082.0,1216618.62
2025-03-03,MTNGH,3.0,2.5,2.91,2.91,3.2,3.0,0.09,36046.0,108046.45
2025-03-04,MTNGH,3.1,2.5,3.0,3.0,3.1,3.1,0.1,138227.0,427901.52
2025-03-05,MTNGH,3.19,2.5,3.1,3.1,3.19,3.19,0.09,184427.0,588300.01
2025-03-07,MTNGH,3.2,2.5,3.19,3.19,3.19,3.2,0.01,1229774.0,3930744.22
2025-03-10,MTNGH,3.2,2.5,3.2,3.2,3.2,3.2,0.0,222757.0,712822.4
2025-03-11,MTNGH,3.2,2.5,3.2,3.2,3.19,3.19,-0.01,262944.0,837791.36
2025-03-12,MTNGH,3.2,2.5,3.19,3.19,3.17,3.17,-0.02,200933.0,636957.61
2025-03-13,MTNGH,3.2,2.5,3.17,3.17,3.17,3.17,0.0,227639.0,721615.63
2025-03-14,MTNGH,3.2,2.5,3.17,3.17,3.16,3.16,-0.01,22093.0,69848.89
2025-03-17,MTNGH,3.2,2.5,3.16,3.16,3.17,3.17,0.01,182789.0,578615.4
2025-03-18,MTNGH,3.2,2.5,3.17,3.17,3.17,3.17,0.0,276662.0,877018.54
2025-03-19,MTNGH,3.2,2.5,3.17,3.17,3.17,3.17,0.0,140993.0,446442.95
2025-03-20,MTNGH,3.2,2.5,3.17,3.17,3.17,3.17,0.0,142383.0,451354.11
2025-03-21,MTNGH,3.2,2.5,3.17,3.17,3.17,3.17,0.0,596312.0,1887696.29
